name,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
Ridge Monte Bello,Ridge Vineyards,2017,13.5,750.0,1695.0,USA,California,Central Coast,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/ridge-monte-bello-9231101,https://product-cdn.systembolaget.se/productimages/24478084/24478084,
"Blossa 20, Myntathé",Altia Sweden AB,2020,15.0,750.0,124.0,International brand,,,Aperitif & Dessert,Mulled wine and mulled wine,Served when heated or cooled as a companion drink.,"Spicy, sweet taste with hints of ginger, orange, cinnamon, herbs and mint.",0.0%,75.0%,0.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/blossa-20-8100001,https://sb-product-media-prod.azureedge.net/productimages/24511418/24511418,
"Blossa, Sparkling & Spices Classic Red",Joseph Drathen,,8.0,750.0,99.0,Germany,,,Aperitif & Dessert,Mulled wine and mulled wine,Served chilled as a social drink.,"Spicy, sweet, sparkling drink with hints of cardamom, orange, red berries, cinnamon and cloves.",0.0%,66.666666666666666%,0.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/blossa-7898501,https://sb-product-media-prod.azureedge.net/productimages/24494830/24494830,
GW's Box,Scanivinus Lda.,2018,13.5,3000.0,249.0,Portugal,,,Red wine,Fruity & Tasty,"Served at 16-18 ° C for light meat dishes, or for lighter lamb dishes.","Fruity taste with hints of cherries, violets, black currants, raspberries and licorice.",0.0%,0.0%,75.0%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/gw-:s-låda-7218608,https://sb-product-media-prod.azureedge.net/productimages/24441279/24441279,
"Casteloro, Vino Rosso",Fields Wine Company AB,,13.0,750.0,59.0,Italy,,,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb and beef dishes.,"Fruity taste with hints of dark cherries, strawberries, licorice and spices.",0.0%,0.0%,75.0%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/casteloro-7913701,https://sb-product-media-prod.azureedge.net/productimages/24460329/24460329,
"Fortellino, Ripasso Superiore",The Company of Urban wines And Other Liquids Sweden AB,2017,14.0,750.0,89.0,Italy,Veneto,Valpolicella,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb and beef dishes.,"Spicy taste with barrel character, hints of cherry, cinnamon, sage, raspberry, pepper, orange and chocolate.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/fortellino-7684501,https://sb-product-media-prod.azureedge.net/productimages/24493489/24493489,
"Ernst Mousserande, Brut",Domaine Wines Sweden AB,,11.0,750.0,99.0,France,,,Sparkling wine,Dry white,"Served at 8-10 ° C with light seafood dishes, or as a companion drink.","Fruity taste with hints of pear, honeydew melon, green apples and citrus.",0.0%,16.66666666666666464%,75.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/ernst-mousserande-7375501,https://sb-product-media-prod.azureedge.net/productimages/24496776/24496776,
"It's a Zin !, Zinfandel",The Company of Urban wines And Other Liquids Sweden AB,2018,14.0,750.0,119.0,Italy,Apulia,,Red wine,Fruity & Tasty,Served at 16-18 ° C with grilled dishes of lamb and beef.,"Very fruity taste with barrel character, hints of blackberries, pepper, plums, chocolate and vanilla.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/it's-a-zin!-7497201,https://sb-product-media-prod.azureedge.net/productimages/24494825/24494825,Zinfandel
Gin & Tonic Glögg,Swedish Tonic,,12.0,500.0,170.0,Sweden,,,Aperitif & Dessert,Mulled wine and mulled wine,Served heated or chilled as a social drink.,"Spicy taste with sweetness, hints of star anise, orange, juniper, cinnamon and cloves.",0.0%,50.0%,0.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/gin-&-tonic-glögg-7785902,https://product-cdn.systembolaget.se/productimages/24414252/24414252,
"Alvaroni Cava, Reserva Brut",Fields Wine Co,,11.5,750.0,89.0,Spain,Cava,,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or with seafood dishes.,"Fruity taste with hints of pear, honeydew melon and citrus.",0.0%,16.66666666666666464%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/alvaroni-cava-7149901,https://sb-product-media-prod.azureedge.net/productimages/24444634/24444634,
"Amore Bianca, Prosecco",San Martino Vini srl,,11.0,750.0,109.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or as a social drink.,"Fruity, youthful taste with hints of pear, white flowers, honeydew melon and citrus.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/amore-bianca-7773901,https://sb-product-media-prod.azureedge.net/productimages/24427857/24427857,Glera
"Cava Pazzione, by Pernilla Wahlgren",ViniMundi,,11.5,750.0,99.0,Spain,Cava,,Sparkling wine,Dry white,Served at 8-10 ° C as a companion drink or with dishes of seafood.,"Fruity, youthful taste aroma with hints of green apples, gooseberries, minerals and citrus.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/pazzione-cava-7786001,https://product-cdn.systembolaget.se/productimages/24427126/24427126,
Poggio Le Volpi,Poggio Le Volpi,2018,14.0,750.0,119.0,Italy,Latium,Rome,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb and beef dishes.,"Fruity taste with barrel character, hints of dark cherries, lavender, plums, cocoa, bay leaves and blackberries.",0.0%,0.0%,75.0%,75.0%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/poggio-le-volpi-7519301,https://sb-product-media-prod.azureedge.net/productimages/24496338/24496338,Montepulciano --- Syrah --- Cesanese
Winter Negroni,Stockholms Bränneri,,22.0,500.0,192.0,Sweden,,,Aperitif & Dessert,Mulled wine and mulled wine,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/winter-negroni-8740402,https://product-cdn.systembolaget.se/productimages/24516675/24516675,
"Casteloro, Spumante Organic Extra Dry",Fields Wine Company AB,,11.0,750.0,69.0,Italy,,,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif, or with seafood dishes.","Fruity taste with hints of green apples, white currants, pears and lime.",0.0%,16.66666666666666464%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/casteloro-7317901,https://sb-product-media-prod.azureedge.net/productimages/24450613/24450613,
"Raimonda, Barbera d'Alba",Fontanafredda,2019,14.5,750.0,109.0,Italy,Piedmont,Barbera d'Alba,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb and beef dishes.,"Fruity, nuanced taste with hints of cask, dark cherries, herbs, blackberries, chocolate, pepper and blueberries.",0.0%,0.0%,83.33333333333334%,66.666666666666666%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/raimonda-7159601,https://product-cdn.systembolaget.se/productimages/14618558/14618558,Barbera
"Stranger Zins, Zinfandel",Fields Wine Co,2019,13.5,1000.0,79.0,Italy,Apulia,,Red wine,,Served at 16-18 ° C with grilled dishes of lamb and beef.,"Very fruity taste with a clear barrel character, hints of blackberries, chocolate, coffee, ripe strawberries, vanilla and spices.",0.0%,0.0%,66.666666666666666%,66.666666666666666%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/stranger-zins-7309401,https://sb-product-media-prod.azureedge.net/productimages/24455617/24455617,
"Grandiosa, Gran Especial Malbec",Icon Wines,2019,13.5,1000.0,79.0,Argentina,Cuyo,Mendoza,Red wine,Fruity & Tasty,Served at 16-18 ° C for lamb or beef dishes or for tasty vegetarian dishes.,"Very fruity taste with hints of plum, blueberry, black pepper and violet.",0.0%,0.0%,75.0%,66.666666666666666%,50.0%,https://www.systembolaget.se/produkt/vin/grandiosa-7582501,https://sb-product-media-prod.azureedge.net/productimages/24477963/24477963,
"Mulderbosch, Sparkling Rosé",Mulderbosch Vineyards,2020,12.5,750.0,99.0,South Africa,Western Cape,,Sparkling wine,Rosé,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/mulderbosch-7790901,https://sb-product-media-prod.azureedge.net/productimages/24441280/24441280,
"El Mar, Cava Brut",ViniMundi,,11.5,750.0,69.0,Spain,Cava,,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or with fish or seafood dishes or as a companion drink.,"Fruity, youthful, very fresh taste with hints of pear, honeydew melon, green apples and lemon.",0.0%,8.333333333333332%,83.33333333333334%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/el-mar-7741001,https://sb-product-media-prod.azureedge.net/productimages/24439439/24439439,
"Rutherglen, Classic Muscat",Stanton and Killeen Wines,,18.0,375.0,199.0,Australia,Victoria,North East Victoria,Aperitif & Dessert,Other strong wine,Served at 8-10 ° C for desserts containing nuts and / or chocolate.,"Nuanced, very sweet taste with hints of cask, dried dates, light syrup, sultana raisins, nuts, chocolate and orange.",0.0%,91.6666666666666666%,0.0%,83.33333333333334%,0.0%,https://www.systembolaget.se/produkt/vin/rutherglen-634702,https://product-cdn.systembolaget.se/productimages/17647866/17647866,Muscat
"Enzo Bartoli, Piedmont",MGM Srl,2019,13.5,3000.0,289.0,Italy,Piedmont,,Red wine,Spicy & Musty,Served at about 18 ° C with dark meat dishes.,"Spicy taste with hints of cask, cherry, cinnamon, orange, cocoa and ripe strawberries.",0.0%,0.0%,83.33333333333334%,66.666666666666666%,75.0%,https://www.systembolaget.se/produkt/vin/enzo-bartoli-7605508,https://sb-product-media-prod.azureedge.net/productimages/24507693/24507693,Barbera --- Nebbiolo
"Ice Pear, Skumpa",Lively Wines Sweden AB,,7.5,750.0,69.0,Italy,,,Sparkling wine,Other,"Served at 6-8 ° C as an aperitif or as a companion drink, or with fruit and berry desserts.","Very fruity, youthful, sweet taste with a clear character of pear, hints of citrus and vanilla.",0.0%,66.666666666666666%,66.666666666666666%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/ice-pear-7523001,https://product-cdn.systembolaget.se/productimages/24304468/24304468,
"Monte Santi, Fruttisecco Smultron",JNT Group SA Sp.K,,10.0,750.0,79.0,Poland,,,Aperitif & Dessert,Flavored wines & fruit wines,Served chilled as a social drink.,"Youthful, very fruity, pearly wine with a little sweetness, hints of strawberries, peach and blood grapefruit.",0.0%,33.33333333333333%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/monte-santi-7763301,https://sb-product-media-prod.azureedge.net/productimages/24435052/24435052,
"Richard Juhlin, Blanc de Blancs Brut",Domaine Wines Sweden AB,,12.0,750.0,129.0,France,,,Sparkling wine,Dry white,"Served at 8-10 ° C as an aperitif, or with seafood dishes.","Fruity, nuanced, very fresh taste with hints of yellow apples, light bread, white chocolate and citrus.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/richard-juhlin-7897901,https://sb-product-media-prod.azureedge.net/productimages/24448830/24448830,Chardonnay
"Ponte d 'Elsa, Toscana Sangiovese",Vinimundi AB,,13.0,1000.0,89.0,Italy,Tuscany,,Red wine,Spicy & Musty,Served at 16-18 ° C with pork and lamb dishes.,"Spicy, fruity taste with hints of cask, dark cherries, sage, plums, forest raspberries and sweet licorice.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/ponte-d'-elsa-7542301,https://sb-product-media-prod.azureedge.net/productimages/24450621/24450621,Sangiovese
"Mega Zin, Zinfandel",Nordic Sea Winery,,13.5,1000.0,89.0,USA,,,Red wine,Fruity & Tasty,"Served at 16-18 ° C for dishes of lamb or beef, preferably grilled, or for tasty vegetarian dishes.","Fruity, spicy taste with barrel character, hints of blueberries, plums, mint, cloves and vanilla.",0.0%,0.0%,66.666666666666666%,66.666666666666666%,50.0%,https://www.systembolaget.se/produkt/vin/mega-zin-7325101,https://sb-product-media-prod.azureedge.net/productimages/24423886/24423886,Zinfandel
"Gloria Prosecco, Brut",Oenoforos SA,,11.5,750.0,89.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,Served at 8-10 ° C as a companion drink or with dishes of seafood.,"Fruity, youthful taste with hints of pear, honeydew melon, green apples and lime.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/gloria-prosecco-7754101,https://product-cdn.systembolaget.se/productimages/24423863/24423863,
"King's Parrot, Shiraz",Giertz Vinimport AB,2019,13.5,1000.0,89.0,Australia,,,Red wine,Fruity & Tasty,Served at 16-18 ° C with pork and lamb dishes.,"Fruity taste with hints of blackberries, herbs, cherries, raspberries, pepper and licorice.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/king's-parrot-7553901,https://sb-product-media-prod.azureedge.net/productimages/24506343/24506343,Shiraz
"Glöet White, Sparkling Glögg",Custom Drinks,,11.0,750.0,99.0,Spain,,,Aperitif & Dessert,Mulled wine and mulled wine,Served at 6-8 ° C as a companion drink.,"Spicy, sweet taste with hints of red apples, cardamom, orange peel, cloves and vanilla.",0.0%,75.0%,0.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/glöet-white-7740401,https://product-cdn.systembolaget.se/productimages/24403354/24403354,
"Cucha Cucha, Cinsault",Forestal Arauco,2019,13.3,750.0,99.0,Chile,Southern Region,Valle del Itata,Red wine,Fruity & Tasty,"Served at 16-18 ° C with vegetarian dishes, or with light meat dishes.","Fruity, slightly spicy taste with hints of cherries, raspberries, bay leaves, pepper, licorice and blood orange.",0.0%,0.0%,83.33333333333334%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/cucha-cucha-258901,https://product-cdn.systembolaget.se/productimages/24420059/24420059,Cinsault
"Perfect Day, Rosé",Contemporary Wines AB,2019,12.5,2250.0,219.0,France,Languedoc-Roussillon,VdP d'Oc,Rose wine,Fresh & Berry,"Served at about 8 ° C as a companion drink, with fish and chicken dishes or with salads.","Berry, youthful taste with hints of strawberries, raspberries, herbs, grapefruit and peach.",0.0%,8.333333333333332%,75.0%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/perfect-day-7287008,https://product-cdn.systembolaget.se/productimages/21918480/21918480,
"Bolla Prosecco, Extra Dry",Gruppo Italiano Vini,,11.0,750.0,77.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,Served at 8-10 ° C as a companion drink or with fish dishes.,"Fruity aroma with hints of pear, honeydew melon, peach and citrus peel.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/bolla-prosecco-7518901,https://product-cdn.systembolaget.se/productimages/24445076/24445076,Glera
"Bouchard Aîné & Fils, Pinot Noir Rosé",Bouchard Aîné et Fils,2019,12.5,750.0,89.0,France,,,Rose wine,Fresh & Berry,"Served at 8-10 ° C as a companion drink, or with fish and chicken dishes, preferably salads.","Berry, very fresh taste with hints of strawberries, herbs, rhubarb and blood grapefruit.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/bouchard-aîné-&-fils-7747601,https://sb-product-media-prod.azureedge.net/productimages/24439435/24439435,Pinot noir
Morberg Starkvinsglögg,Trensum Food AB,,14.5,750.0,78.0,Sweden,,,Aperitif & Dessert,Mulled wine and mulled wine,Served heated or chilled as a social drink.,"Spicy, sweet taste with hints of cardamom, cloves, orange, dark cherries and cinnamon.",0.0%,75.0%,0.0%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/morberg-starkvinsglögg-7658101,https://product-cdn.systembolaget.se/productimages/898819/898819,
"Casteloro, Prosecco Extra Dry",Fields Wine Company AB,,11.0,750.0,79.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,Served at 8-10 ° C as a social drink or for salads.,"Youthful, fruity taste with hints of pear, almond paste, green apples and lime.",0.0%,16.66666666666666464%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/casteloro-7934201,https://product-cdn.systembolaget.se/productimages/24408518/24408518,
"Château la Varière, Le Savetier",Château la Variere,2018,11.5,375.0,139.0,France,Loire Valley,Anjou-Saumur,White wine,Sweet,"Served at 10-12 ° C with goose liver, fruit desserts or blue cheese","Nuanced, sweet, very fresh taste with hints of cask, dried pineapple, orange marmalade, honey, apricot and lemon.",0.0%,75.0%,83.33333333333334%,66.666666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/château-la-varière-220002,https://product-cdn.systembolaget.se/productimages/1068838/1068838,Chenin blanc
"Gozy, White Sangria",Custom Made Drinks AB,,8.0,750.0,89.0,Spain,,,Aperitif & Dessert,Flavored wines & fruit wines,"Served well chilled as a companion drink, possibly with ice cubes.","Fruity, spicy, sweet taste with hints of orange, cinnamon, cloves and red apples.",0.0%,75.0%,0.0%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/gozy-8239501,https://product-cdn.systembolaget.se/productimages/3361301/3361301,
"Zingled out, Zinfandel",Oenophoros,,13.5,1000.0,99.0,Italy,,,Red wine,Fruity & Tasty,"Served at 16-18 ° C with vegetarian dishes, or with dishes of pork and lamb.","Very fruity taste with hints of dark cherries, licorice, raisins and dried herbs.",0.0%,0.0%,66.666666666666666%,66.666666666666666%,50.0%,https://www.systembolaget.se/produkt/vin/zingled-out-7882201,https://product-cdn.systembolaget.se/productimages/24422695/24422695,
Señorío De Broches,Dimobe,,15.0,500.0,149.0,Spain,Andalusia,Malaga,Aperitif & Dessert,Other strong wine,"Served at about 10 ° C for green mold cheeses, foie gras or for desserts.","Nuanced, very sweet and fresh taste with hints of lemon jam, elderberry, honey, dried pineapple and orange.",0.0%,83.33333333333334%,0.0%,66.666666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/señorío-de-broches-646002,https://product-cdn.systembolaget.se/productimages/16017588/16017588,Moscatel
"Jurançon, Chateau de Rousse",Earl Chateau de Rousse,2017,12.5,375.0,119.0,France,France southwest,Jurance,White wine,Sweet,"Served at about 10 ° C for green mold cheeses, foie gras or for desserts.","Nuanced, very sweet and fresh taste with hints of cask, dried apricots, saffron, pineapple, orange and honey.",0.0%,83.33333333333334%,83.33333333333334%,75.0%,0.0%,https://www.systembolaget.se/produkt/vin/jurançon-412702,https://product-cdn.systembolaget.se/productimages/13737526/13737526,Petit manseng
Stockholm Aperitif,Stockholms Bränneri,,22.0,500.0,192.0,Sweden,Stockholm County,City of Stockholm,Aperitif & Dessert,Aperitif,Used as a drinking ingredient.,"Berry, herbaceous, sweet and sour taste with hints of apples, lingonberries, citrus peels and rowanberries.",0.0%,75.0%,0.0%,66.666666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/stockholms-aperitif-8146302,https://sb-product-media-prod.azureedge.net/productimages/24458504/24458504,
Loios,João Portugal Ramos,2019,14.0,3000.0,219.0,Portugal,Alentejo,Alentejano,Red wine,Fruity & Tasty,"Served at 16-18 ° C with grilled dishes of pork, lamb or beef or with tasty vegetarian dishes.","Very fruity taste with hints of cask, raspberry, dark cherries, herbs, blueberries and sweet licorice.",0.0%,0.0%,75.0%,66.666666666666666%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/loios-252108,https://sb-product-media-prod.azureedge.net/productimages/24488008/24488008,
"Lucia Chocolate, Strong wine mulled wine",Giulio Cocchi,,15.0,500.0,89.0,Italy,,,Aperitif & Dessert,Mulled wine and mulled wine,Served heated or chilled as a social drink.,"Spicy, sweet taste with hints of chocolate, cardamom, raisins, cloves, orange and cinnamon.",0.0%,75.0%,0.0%,66.666666666666666%,0.0%,https://www.systembolaget.se/produkt/vin/lucia-choklad-7650402,https://product-cdn.systembolaget.se/productimages/994622/994622,
"Barton & Guestier, Crémant de Bourgogne",Barton & Guestier,,12.0,750.0,99.0,France,Burgundy,Crémant de Bourgogne,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or with seafood dishes.,"Fruity, very fresh taste with hints of yellow apples, nougat, biscuits, minerals and orange.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/barton-&-guestier-753701,https://product-cdn.systembolaget.se/productimages/23844671/23844671,
"La Maison, Vin Rouge",Carovin AB,,14.5,1000.0,85.0,France,,,Red wine,Fruity & Tasty,Served at 16-18 ° C with pork or lamb dishes or vegetarian dishes.,"Fruity taste with hints of cask, plum, blueberry, licorice and chocolate.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/la-maison-7882301,https://sb-product-media-prod.azureedge.net/productimages/24422868/24422868,
"Honas Casas, Rich",Lively Wines Sweden AB,,13.0,3000.0,169.0,Spain,,,Red wine,Fruity & Tasty,Served at 16-18 ° C for vegetarian dishes or for pork and lamb dishes.,"Fruity, slightly spicy taste with hints of cask, dark cherries, herbs, black currants and chocolate.",0.0%,0.0%,75.0%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/casas-honestos-7846008,https://sb-product-media-prod.azureedge.net/productimages/24507692/24507692,
"Barbera d`Asti, Zengarello",The Company of Urban wines And Other Liquids Sweden AB,2019,13.0,750.0,119.0,Italy,Piedmont,Barbera d'Asti,Red wine,Fruity & Tasty,Served at 16-18 ° C with lamb and beef dishes.,"Fruity taste with hints of cask, dark cherries, herbs, raspberries, blueberries and licorice.",0.0%,0.0%,83.33333333333334%,58.333333333333336%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/barbera-d`asti-7864301,https://sb-product-media-prod.azureedge.net/productimages/24493490/24493490,Barbera
Brocca,Ginevra & Leonardo Srl,2016,13.5,750.0,129.0,Italy,Tuscany,,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb and beef dishes.,"Spicy, slightly developed taste with barrel character, hints of dried cherries, cedar, raspberries, cinnamon, vanilla and orange.",0.0%,0.0%,83.33333333333334%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/brocca-7828201,https://sb-product-media-prod.azureedge.net/productimages/24512129/24512129,Merlot --- Sangiovese
"Arc-en-Ciel, Grande Réserve",Providential Wines & Spirits AB,2019,13.5,1000.0,89.0,France,,,White wine,Fresh & Fruity,Served at 8-10 ° C with seafood dishes.,"Fruity, youthful, very fresh taste with hints of peach, green apples, pineapple and citrus.",0.0%,8.333333333333332%,83.33333333333334%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/arc-en-ciel-7859001,https://sb-product-media-prod.azureedge.net/productimages/24504713/24504713,
"Leif Mannerström, Côtes du Rhône",The Company of Urban wines And Other Liquids Sweden AB,2018,14.0,750.0,119.0,France,Rhonedalen,Côtes du Rhône,Red wine,Spicy & Musty,Served at 16-18 ° C with lamb and beef dishes.,"Spicy, fruity taste with hints of blackberries, lavender, black pepper, plums, bay leaves and licorice.",0.0%,0.0%,75.0%,66.666666666666666%,66.666666666666666%,https://www.systembolaget.se/produkt/vin/leif-mannerström-7350901,https://product-cdn.systembolaget.se/productimages/24433343/24433343,
"Small salts, Vintner's Selection Rosé",Small salts,2020,13.5,750.0,119.0,South Africa,Western Cape,,Rose wine,,"Served at 8-10 ° C as a companion drink, for salads, or for dishes of fish or poultry.","Berry taste with hints of strawberries, blood grapefruit, herbs and watermelon.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/kleine-zalze-467601,https://product-cdn.systembolaget.se/productimages/24395807/24395807,
"Bergh, Riesling Organic",Icon Wines,2019,12.5,750.0,109.0,Austria,Lower Austria,,White wine,Fresh & Fruity,Served at 8-10 ° C as an aperitif or with seafood dishes.,"Fruity, very fresh taste with hints of yellow apples, apricot, pear. spices and citrus.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/bergh-8110901,https://sb-product-media-prod.azureedge.net/productimages/24454517/24454517,
"Maison Francoise, Chardonnay",Nordic Sea Winery,,13.5,1000.0,89.0,France,,,White wine,Full-bodied & Tasty,"Served at 8-10 ° C with dishes of seafood, preferably grilled.","Fruity taste with barrel character, hints of green apples, galia melon, pineapple, nuts and citrus.",0.0%,8.333333333333332%,75.0%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/maison-francoise-7990701,https://sb-product-media-prod.azureedge.net/productimages/24422694/24422694,Chardonnay
"Korrell, Beerenauslese",Weingut Korrell Johanneshof,2017,6.0,375.0,189.0,Germany,Nahe,,White wine,Sweet,"Served at about 10 ° C for green mold cheeses, foie gras or for desserts.","Fruity, sweet, very fresh taste with hints of mango, honey, dried pineapple, apricot and orange marmalade.",0.0%,75.0%,83.33333333333334%,58.333333333333336%,0.0%,https://www.systembolaget.se/produkt/vin/korrell-289702,https://product-cdn.systembolaget.se/productimages/4332236/4332236,Pinot blanc --- Pinot gris
"Mandala, Chardonnay",Mandala Wines,2019,13.2,750.0,149.0,Australia,Victoria,Port Phillip,White wine,,Served at 8-10 ° C with tasty fish dishes or light meat.,"Nuanced, fruity, very fresh taste with barrel character, hints of yellow apples, butter, herbs, spices, pineapple, nougat and citrus.",0.0%,8.333333333333332%,83.33333333333334%,50.0%,0.0%,https://www.systembolaget.se/produkt/vin/mandala-258401,https://product-cdn.systembolaget.se/productimages/24417635/24417635,Chardonnay
"Bolla, Prosecco Organic",Bolla,,11.0,750.0,99.0,Italy,Veneto,Prosecco,Sparkling wine,Dry white,Served at 8-10 ° C as a companion drink or with fish dishes.,"Fruity, youthful taste with hints of gray pear, honeydew melon, elderberry and green apples.",0.0%,16.66666666666666464%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/bolla-7958701,https://product-cdn.systembolaget.se/productimages/1981781/1981781,Glera
"Lyngrove, Pinotage",Lyngrove Wines,2019,14.0,3000.0,189.0,South Africa,Western Cape,,Red wine,Fruity & Tasty,"Served at 16-18 ° C with dishes of pork, lamb and beef.","Very fruity taste with hints of forest raspberries, black currants, licorice and spices.",0.0%,0.0%,75.0%,66.666666666666666%,58.333333333333336%,https://www.systembolaget.se/produkt/vin/lyngrove-2800808,https://product-cdn.systembolaget.se/productimages/52140/52140,Pinotage
"Bolla, Valpolicella organic",Gruppo Italiano Vini,2019,12.0,750.0,109.0,Italy,Veneto,Valpolicella,Red wine,Fruity & Tasty,"Served at about 16 ° C with vegetarian dishes, or with light meat dishes.","Fruity taste with hints of strawberries, sage, cherries, cinnamon and raspberries.",0.0%,0.0%,75.0%,50.0%,50.0%,https://www.systembolaget.se/produkt/vin/bolla-7299101,https://sb-product-media-prod.azureedge.net/productimages/24455945/24455945,
"Untouched, White",Ewald Theod Drathen,2019,8.5,1000.0,64.0,Germany,Rhein,,White wine,Grape & Floral,"Served at about 8 ° C as a companion drink or with lighter dishes of seafood, preferably with Asian elements.","Grape, youthful taste with sweetness, hints of pear, peach, white flowers and honey.",0.0%,41.6666666666666767%,66.666666666666666%,25.0%,0.0%,https://www.systembolaget.se/produkt/vin/untouched-604001,https://product-cdn.systembolaget.se/productimages/543638/543638,Riesling --- Gewurztraminer --- Morio nutmeg
"Cameleon, Sauvignon Blanc Chardonnay",Domaine Bousquet,2020,13.0,3000.0,229.0,Argentina,Cuyo,Mendoza,White wine,Fresh & Fruity,"Served at 8-10 ° C with fish or seafood dishes, or with vegetarian dishes.","Very fruity, youthful taste with hints of pear, green apples, gooseberries, fresh herbs and lime.",0.0%,8.333333333333332%,75.0%,33.33333333333333%,0.0%,https://www.systembolaget.se/produkt/vin/cameleon-302608,https://product-cdn.systembolaget.se/productimages/15671210/15671210,White Sauvignon --- Chardonnay
